Date,1M BVOL,Hist Vol (60)
5/29/2026,12.554,14.844
5/28/2026,12.991,14.925
5/27/2026,13.731,14.955
5/26/2026,14.206,15.135
5/25/2026,,
5/22/2026,13.801,15.106
5/21/2026,13.767,15.144
5/20/2026,14.562,15.208
5/19/2026,15.295,15.144
5/18/2026,15.061,15.111
5/15/2026,14.885,15.307
5/14/2026,14.459,15.073
5/13/2026,14.977,15.042
5/12/2026,15.151,15.038
5/11/2026,15.389,15.026
5/8/2026,14.1,15.026
5/7/2026,14.212,15.371
5/6/2026,14.46,15.34
5/5/2026,14.68,15.091
5/4/2026,15.167,15.034
5/1/2026,13.802,15.509
4/30/2026,14.212,15.755
4/29/2026,15.714,15.672
4/28/2026,15.09,15.784
4/27/2026,15.069,15.777
4/24/2026,15.433,15.809
4/23/2026,16.179,15.732
4/22/2026,15.389,15.704
4/21/2026,16.882,15.578
4/20/2026,15.523,15.544
4/17/2026,14.184,15.532
4/16/2026,14.498,15.376
4/15/2026,14.837,15.546
4/14/2026,14.943,16.098
4/13/2026,15.099,15.906
4/10/2026,15.687,15.765
4/9/2026,15.68,15.8
4/8/2026,17.394,15.742
4/7/2026,21.923,14.799
4/6/2026,20.023,14.875
4/3/2026,,
4/2/2026,20.573,14.835
4/1/2026,20.918,14.839
3/31/2026,21.353,14.817
3/30/2026,25.681,13.494
3/27/2026,26.163,13.499
3/26/2026,23.561,13.149
3/25/2026,21.133,12.668
3/24/2026,22.287,12.612
3/23/2026,21.248,12.598
3/20/2026,23.659,12.356
3/19/2026,20.497,12.028
3/18/2026,20.542,12.111
3/17/2026,18.563,11.923
3/16/2026,20.131,12.04
3/13/2026,22.79,12.084
3/12/2026,21.985,12.082
3/11/2026,19.733,11.603
3/10/2026,20.405,11.813
3/9/2026,19.796,11.817
3/6/2026,22.263,11.772
3/5/2026,18.025,11.435
3/4/2026,16.739,11.396
3/3/2026,18.708,11.284
3/2/2026,17.073,11.107
2/27/2026,16.393,11.172
2/26/2026,14.976,11.092
2/25/2026,14.288,11.092
2/24/2026,15.642,11.019
2/23/2026,17.686,10.997
2/20/2026,15.651,10.913
2/19/2026,17.1,11.273
2/18/2026,15.968,11.408
2/17/2026,16.592,11.879
2/16/2026,,
2/13/2026,17.186,11.898
2/12/2026,17.313,12.042
2/11/2026,14.165,11.72
2/10/2026,14.002,11.722
2/9/2026,13.536,12.242
2/6/2026,14.357,12.206
2/5/2026,18.464,11.499
2/4/2026,15.433,11.642
2/3/2026,14.586,11.594
2/2/2026,13,11.695
1/30/2026,14.107,11.668
1/29/2026,13.713,11.906
1/28/2026,13.282,11.907
1/27/2026,13.189,11.916
1/26/2026,13.009,12.094
1/23/2026,12.536,12.089
1/22/2026,12.721,12.045
1/21/2026,13.844,12.265
1/20/2026,16.451,12.137
1/19/2026,,
1/16/2026,12.33,11.334
1/15/2026,12.608,11.4
1/14/2026,13.505,11.392
1/13/2026,12.995,11.518
1/12/2026,12.286,11.542
1/9/2026,11.512,11.639
1/8/2026,12.472,11.586
1/7/2026,12.613,11.605
1/6/2026,12.331,11.979
1/5/2026,12.39,13.333
1/2/2026,12.025,13.288
