ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-13T00:01:04.086658472Z,2026-01-13T00:01:04.086032479Z,1,1,2535646,T,A,0,32.000000000,1,0,14619,57897734,32.000000000,32.250000000,1,162,1,3,UD:1V: VT 2535646
2026-01-13T00:01:21.630893635Z,2026-01-13T00:01:21.630157957Z,1,1,42427499,T,B,0,13.250000000,1,0,13945,195267128,13.000000000,13.250000000,243,5,6,1,ESH6 P5700
2026-01-13T00:02:14.198496057Z,2026-01-13T00:02:14.197957285Z,1,1,2534733,T,A,0,2.550000000,1,0,15639,57907568,2.550000000,2.600000000,1,254,1,2,UD:1V: VT 2534733
2026-01-13T00:03:37.965618344Z,2026-01-13T00:03:37.964892291Z,1,1,42427499,T,B,0,13.250000000,1,0,13671,195396944,13.000000000,13.250000000,243,4,6,1,ESH6 P5700
2026-01-13T00:03:42.639913958Z,2026-01-13T00:03:42.632733477Z,1,1,42435427,T,B,0,85.250000000,1,0,13278,195398771,84.750000000,85.250000000,56,1,3,1,ESH6 P6750
2026-01-13T00:04:22.086599896Z,2026-01-13T00:04:22.085910951Z,1,1,42427499,T,B,0,13.250000000,3,0,14284,195439994,13.000000000,13.250000000,243,3,6,1,ESH6 P5700
2026-01-13T00:11:05.721010912Z,2026-01-13T00:11:05.720548575Z,1,1,42435427,T,B,0,85.250000000,1,0,14529,195748667,85.000000000,85.250000000,20,1,2,1,ESH6 P6750
2026-01-13T00:15:52.381596968Z,2026-01-13T00:15:52.341005277Z,1,1,42435427,T,A,0,85.500000000,31,0,14281,195958198,85.500000000,86.000000000,50,39,1,3,ESH6 P6750
2026-01-13T00:15:52.387685784Z,2026-01-13T00:15:52.375819135Z,1,1,42435427,T,A,0,85.500000000,1,0,14314,195958474,85.500000000,86.000000000,19,39,1,3,ESH6 P6750
2026-01-13T00:15:52.388148510Z,2026-01-13T00:15:52.381578897Z,1,1,42435427,T,A,0,85.500000000,18,0,14272,195958485,85.500000000,86.000000000,18,39,1,3,ESH6 P6750
2026-01-13T00:31:11.297586237Z,2026-01-13T00:31:11.297127225Z,1,1,42402296,T,A,0,7.850000000,1,0,17367,196563880,7.850000000,7.950000000,1,88,1,3,ESH6 P5250
2026-01-13T00:38:57.201532105Z,2026-01-13T00:38:57.153203163Z,1,1,42427501,T,B,0,155.250000000,3,0,11567,196904046,155.000000000,155.250000000,20,3,1,1,ESH6 P7000
2026-01-13T00:48:23.078786434Z,2026-01-13T00:48:23.078211309Z,1,1,2536903,T,B,0,22.250000000,1,0,13552,58099340,22.000000000,22.250000000,1,385,1,3,UD:1V: VT 2536903
2026-01-13T00:54:16.314762714Z,2026-01-13T00:54:16.314156499Z,1,1,2536966,T,A,0,149.500000000,6,0,13658,58115742,149.500000000,150.000000000,6,16,1,1,UD:1V: GN 2536966
2026-01-13T00:56:48.919213857Z,2026-01-13T00:56:48.899924569Z,1,1,2536972,T,B,0,5.400000000,1,0,15395,58118802,5.350000000,5.400000000,266,1,3,1,UD:1V: VT 2536972
2026-01-13T00:59:16.040329364Z,2026-01-13T00:59:16.027210569Z,1,1,42429011,T,A,0,223.750000000,1,0,12502,197467630,223.750000000,224.750000000,1,35,1,2,ESH6 C6900
2026-01-13T01:00:15.377728492Z,2026-01-13T01:00:15.370969553Z,1,1,42427501,T,A,0,155.500000000,1,0,13192,197513967,155.500000000,155.750000000,1,3,1,1,ESH6 P7000
2026-01-13T01:01:17.558876454Z,2026-01-13T01:01:17.558301161Z,1,1,42427500,T,B,0,34.250000000,2,0,13227,197560574,34.000000000,34.250000000,111,2,4,1,ESH6 P6300
2026-01-13T01:11:45.303119588Z,2026-01-13T01:11:45.274841397Z,1,1,42427501,T,A,0,155.250000000,1,0,13023,197848290,155.250000000,155.750000000,1,34,1,4,ESH6 P7000
2026-01-13T01:13:14.464771858Z,2026-01-13T01:13:14.464178787Z,1,1,2537132,T,A,0,143.500000000,6,0,13440,58169144,143.500000000,144.250000000,6,16,1,1,UD:1V: GN 2537132
2026-01-13T01:16:34.862047313Z,2026-01-13T01:16:34.861530305Z,1,1,525442,T,B,0,81.500000000,1,0,14532,198017716,81.250000000,81.500000000,144,1,3,1,ESZ6 P5200
2026-01-13T01:16:44.558390095Z,2026-01-13T01:16:44.557781979Z,1,1,2537167,T,A,0,146.000000000,1,0,15111,58181247,146.000000000,146.750000000,1,16,1,1,UD:1V: GN 2537167
2026-01-13T01:26:16.559415507Z,2026-01-13T01:26:16.559067539Z,1,1,42522942,T,A,0,90.250000000,1,0,14091,198304908,90.250000000,90.750000000,1,123,1,2,ESH7 P5000
2026-01-13T01:33:34.039125824Z,2026-01-13T01:33:34.038504153Z,1,1,2536503,T,B,0,5.250000000,1,0,14042,58235716,,5.250000000,0,1,0,1,UD:1V: 3W 2536503
2026-01-13T01:35:24.464683241Z,2026-01-13T01:35:24.461416949Z,1,1,2517231,T,A,0,46.250000000,2,0,14898,58241649,46.250000000,46.500000000,2,425,2,4,UD:1V: VT 2517231
2026-01-13T01:36:05.123596556Z,2026-01-13T01:36:05.117282735Z,1,1,42427501,T,B,0,155.750000000,3,0,11539,198622380,155.500000000,155.750000000,20,3,1,1,ESH6 P7000
2026-01-13T01:36:43.262279226Z,2026-01-13T01:36:43.261754563Z,1,1,42426741,T,A,0,51.000000000,1,0,16135,198645926,51.000000000,51.250000000,1,61,1,4,ESH6 P6500
2026-01-13T01:48:54.687392638Z,2026-01-13T01:48:54.686769867Z,1,1,42427500,T,A,0,34.500000000,2,0,14985,199156085,34.500000000,34.750000000,2,30,2,2,ESH6 P6300
2026-01-13T01:50:09.054428238Z,2026-01-13T01:50:09.030357331Z,1,1,42430442,T,B,0,10.000000000,2,0,14137,199233851,9.850000000,10.000000000,151,2,3,1,ESH6 C7500
2026-01-13T01:52:21.978316173Z,2026-01-13T01:52:21.977828213Z,1,1,42427501,T,A,0,154.500000000,1,0,14404,199377479,154.500000000,155.000000000,1,28,1,2,ESH6 P7000
