ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-07-10T08:00:01.000000000Z,,195,2,15024,N,,0,128,332583,149.400000000,150.800000000,200,400,1,2,SPCX
2026-07-10T08:00:02.000000000Z,,195,2,15024,N,,0,128,347552,149.600000000,150.400000000,400,200,1,1,SPCX
2026-07-10T08:00:03.000000000Z,,195,2,15024,N,,0,128,358474,149.400000000,150.400000000,400,200,2,1,SPCX
2026-07-10T08:00:04.000000000Z,,195,2,15024,N,,0,128,363929,149.700000000,150.350000000,1,24,1,1,SPCX
2026-07-10T08:00:07.000000000Z,,195,2,15024,N,,0,128,379075,149.700000000,150.350000000,1,84,1,2,SPCX
2026-07-10T08:00:09.000000000Z,,195,2,15024,N,,0,128,393815,149.700000000,150.110000000,1,60,1,1,SPCX
2026-07-10T08:00:10.000000000Z,,195,2,15024,N,,0,128,397798,149.700000000,150.170000000,1,60,1,1,SPCX
2026-07-10T08:00:14.000000000Z,,195,2,15024,N,,0,128,418245,149.710000000,150.170000000,60,60,1,1,SPCX
2026-07-10T08:00:15.000000000Z,2026-07-10T08:00:14.162576901Z,195,2,15024,N,150.100000000,1,128,421830,149.900000000,150.190000000,5,60,1,1,SPCX
2026-07-10T08:00:19.000000000Z,2026-07-10T08:00:14.162576901Z,195,2,15024,N,150.100000000,1,128,436627,149.990000000,150.190000000,10,60,1,1,SPCX
2026-07-10T08:00:20.000000000Z,2026-07-10T08:00:14.162576901Z,195,2,15024,N,150.100000000,1,128,437085,149.990000000,150.190000000,10,120,1,2,SPCX
2026-07-10T08:00:21.000000000Z,2026-07-10T08:00:20.977619118Z,195,2,15024,N,150.060000000,100,128,442714,150.000000000,150.190000000,101,60,2,1,SPCX
2026-07-10T08:00:22.000000000Z,2026-07-10T08:00:20.977619118Z,195,2,15024,N,150.060000000,100,128,442987,150.000000000,150.190000000,22,60,1,1,SPCX
