trade_id,timestamp,sec_of_day,symbol,root,expiry_code,expiry_date,opt_type,strike,side,quantity,bid,ask,exec_price
1,2026-01-02 14:42:39+00:00,52959,ESM6 P6100,ES,ESM6,2026-06-19,P,6100.0,SELL,2,95.75,96.0,95.3459595959596
2,2026-01-02 14:48:58+00:00,53338,ESH6 C7325,ES,ESH6,2026-03-20,C,7325.0,SELL,15,19.75,20.0,20.209821428571427
3,2026-01-02 14:52:13+00:00,53533,ESM6 P6800,ES,ESM6,2026-06-19,P,6800.0,BUY,15,225.75,226.25,220.27083333333334
4,2026-01-02 14:53:41+00:00,53621,ESH6 C7000,ES,ESH6,2026-03-20,C,7000.0,BUY,1,104.5,104.75,112.5909090909091
5,2026-01-02 14:53:57+00:00,53637,ESH6 P4500,ES,ESH6,2026-03-20,P,4500.0,BUY,5,4.45,4.5,4.632456140350878
6,2026-01-02 14:54:55+00:00,53695,ESH6 C7325,ES,ESH6,2026-03-20,C,7325.0,BUY,15,19.25,19.5,20.209821428571427
7,2026-01-02 14:59:15+00:00,53955,ESM6 P6650,ES,ESM6,2026-06-19,P,6650.0,SELL,2,182.5,183.0,184.95192307692307
8,2026-01-02 15:04:35+00:00,54275,ESH6 P4500,ES,ESH6,2026-03-20,P,4500.0,BUY,156,4.6,4.65,4.632456140350878
9,2026-01-02 15:07:26+00:00,54446,ESH6 P6875,ES,ESH6,2026-03-20,P,6875.0,SELL,2,166.25,167.0,164.92307692307693
10,2026-01-02 15:07:36+00:00,54456,ESM6 P6800,ES,ESM6,2026-06-19,P,6800.0,BUY,21,216.0,217.0,220.27083333333334
11,2026-01-02 15:09:19+00:00,54559,ESM6 C7100,ES,ESM6,2026-06-19,C,7100.0,BUY,14,196.75,197.0,197.0
12,2026-01-02 15:09:43+00:00,54583,ESM6 C6950,ES,ESM6,2026-06-19,C,6950.0,SELL,15,281.5,281.75,281.75
13,2026-01-02 15:12:04+00:00,54724,ESZ6 C6950,ES,ESZ6,2026-12-18,C,6950.0,BUY,50,485.0,486.0,486.0
14,2026-01-02 15:20:24+00:00,55224,ESM6 P6750,ES,ESM6,2026-06-19,P,6750.0,BUY,2,212.25,212.75,213.21875
15,2026-01-02 15:20:25+00:00,55225,ESH6 P6200,ES,ESH6,2026-03-20,P,6200.0,SELL,10,38.25,38.5,38.310810810810814
16,2026-01-02 15:20:43+00:00,55243,ESH6 P6825,ES,ESH6,2026-03-20,P,6825.0,SELL,16,143.25,143.5,143.5
17,2026-01-02 15:20:47+00:00,55247,ESH6 P6800,ES,ESH6,2026-03-20,P,6800.0,SELL,2,132.0,132.25,134.17567567567568
18,2026-01-02 15:20:50+00:00,55250,ESH6 C7375,ES,ESH6,2026-03-20,C,7375.0,BUY,1,15.0,15.25,14.686915887850468
19,2026-01-02 15:21:33+00:00,55293,ESH6 P6400,ES,ESH6,2026-03-20,P,6400.0,SELL,1,54.0,54.25,60.30456852791878
20,2026-01-02 15:24:59+00:00,55499,ESZ6 P6100,ES,ESZ6,2026-12-18,P,6100.0,SELL,5,198.75,199.25,199.25
